AALR3;Alliança
ABCB4;Banco ABC Brasil
ABEV3;Ambev
ADMF3;REAG TRUST S.A
AERI3;Aeris Energy
AFLT3;Afluente T
AGRO3;BrasilAgro
AGXY3;AgroGalaxy
AHEB3;São Paulo Turismo
ALLD3;Allied
ALOS3;Allos
ALPA3;Alpargatas
ALPA4;Alpargatas
ALPK3;Estapar
ALUP11;Alupar
ALUP3;Alupar
ALUP4;Alupar
AMAR11;Lojas Marisa
AMAR3;Lojas Marisa
AMBP3;Ambipar
AMER3;Americanas
AMOB3;Automob
ANIM3;Ânima Educação
ARML3;Armac
ASAI3;Assaí
ATED3;ATOM EDUCAÇÃO E EDITORA S.A.
AURE3;Auren Energia
AVLL3;Alphaville
AXIA3;Axia Energia
AXIA6;Axia Energia
AZEV11;Azevedo & Travassos
AZEV3;Azevedo & Travassos
AZEV4;Azevedo & Travassos
AZTE3;AZT Energia
AZUL4;Azul
AZZA3;Arezzo
B3SA3;B3
BALM3;Baumer
BALM4;Baumer
BAUH4;Excelsior
BAZA3;Banco da Amazônia
BBAS3;Banco do Brasil
BBDC3;Banco Bradesco
BBDC4;Banco Bradesco
BBSE3;BB Seguridade
BDLL4;Bardella
BEEF3;Minerva
BEES3;Banestes
BEES4;Banestes
BGIP3;Banese
BGIP4;Banese
BHIA3;Casas Bahia
BIED3;BIED3
BIOM3;Biomm
BLAU3;Blau Farmacêutica
BMEB3;Banco Mercantil do Brasil
BMEB4;Banco Mercantil do Brasil
BMGB4;Banco BMG
BMIN4;Banco Mercantil de Investimentos
BMKS3;Monark
BMOB3;Bemobi
BNBR3;Banco do Nordeste
BOBR4;Bombril
BPAC11;Banco BTG Pactual
BPAC3;Banco BTG Pactual
BPAC5;Banco BTG Pactual
BPAN4;Banco Pan
BRAP3;Bradespar
BRAP4;Bradespar
BRAV3;3R Petroleum
BRBI11;BR Partners
BRKM3;Braskem
BRKM5;Braskem
BRKM6;Braskem
BRSR3;Banrisul
BRSR5;Banrisul
BRSR6;Banrisul
BRST3;Brisanet
BSLI3;Banco de Brasília
BSLI4;Banco de Brasília
CALI3;Adolpho Lindenberg
CAMB3;Cambuci
CAML3;Camil Alimentos
CASH3;Méliuz
CBAV3;CBA
CEAB3;C&A
CEBR3;CEB
CEBR5;CEB
CEBR6;CEB
CEDO3;Cedro Têxtil
CEDO4;Cedro Têxtil
CEEB3;COELBA
CEED3;CEEE D
CGAS3;Comgás
CGAS5;Comgás
CGRA3;Grazziotin
CGRA4;Grazziotin
CLSC3;Celesc
CLSC4;Celesc
CMIG3;Cemig
CMIG4;Cemig
CMIN3;CSN Mineração
COCE5;Coelce
COGN3;Cogna
CPFE3;CPFL Energia
CPLE3;Copel
CPLE5;Copel
CRPG3;Tronox Pigmentos
CRPG5;Tronox Pigmentos
CRPG6;Tronox Pigmentos
CSAN3;Cosan
CSED3;Cruzeiro do Sul Educacional
CSMG3;COPASA
CSNA3;Siderúrgica Nacional
CSUD3;CSU Cardsystem
CTAX3;CTAX3
CTKA3;Karsten
CTKA4;Karsten
CTSA3;Santanense
CTSA4;Santanense
CURY3;Cury
CVCB3;CVC
CXSE3;Caixa Seguridade
CYRE3;Cyrela
DASA3;Dasa
DESK3;Desktop
DEXP3;Dexxos
DEXP4;Dexxos
DIRR3;Direcional
DMVF3;D1000 Varejo Farma
DOHL3;Döhler
DOHL4;Döhler
DOTZ3;Dotz
DTCY3;Dtcom
DXCO3;Dexco
EALT3;Electro Aço Altona
EALT4;Electro Aço Altona
ECOR3;EcoRodovias
EGIE3;Engie
EKTR3;Elektro
EKTR4;Elektro
EMAE4;EMAE
EMBJ3;Embraer
ENEV3;Eneva
ENGI11;Energisa
ENGI3;Energisa
ENGI4;Energisa
ENJU3;Enjoei
ENMT3;Energisa MT
ENMT4;Energisa MT
EPAR3;Embpar Participações
EQMA3B;Equatorial Maranhão
EQPA3;Equatorial Energia Pará
EQTL3;Equatorial Energia
ESPA3;Espaçolaser
ESTR4;Estrela
ETER3;Eternit
EUCA3;Eucatex
EUCA4;Eucatex
EVEN3;Even
EZTC3;EZTEC
FESA3;Ferbasa
FESA4;Ferbasa
FHER3;Fertilizantes Heringer
FICT3;Fictor Alimentos
FIEI3;Fica
FIQE3;Unifique
FLRY3;Fleury
FRAS3;Fras-le
GEPA3;Rio Paranapanema Energia
GEPA4;Rio Paranapanema Energia
GFSA3;Gafisa
